phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0610.8: Dont se mocquant, dict la dame faschée,",DC0610: Un bon vieillard qui n'avoit que le bec,None,,D,None,Plagal,B-flat,G,Plagal,Authentic,G
"DC0610.7: Plus de cent fois, et ne peult deslacher,",DC0610: Un bon vieillard qui n'avoit que le bec,None,Displaced,B-flat,None,Plagal,B-flat,D,Authentic,Plagal,G
"DC0610.5: Pour tout payement luy chante ceste game,",DC0610: Un bon vieillard qui n'avoit que le bec,S,,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0610.2: Se trouvant court pres d’une jeune dame,",DC0610: Un bon vieillard qui n'avoit que le bec,S,,G,T,Authentic,None,D,None,Authentic,G
DC0609.10: Souvent me desire pres d'elle.,DC0609: Je ne suis devin ne prophète,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0609.9: Comme aussi la j'ay mis mon heur,",DC0609: Je ne suis devin ne prophète,S,,G,T,Authentic,G,G,Plagal,Authentic,G
"DC0609.7: Demander le fault à mon cœur,",DC0609: Je ne suis devin ne prophète,None,,G,None,Plagal,B-flat,G,Authentic,Authentic,G
"DC0609.6: Que ce qu'elle faict pour le seur,",DC0609: Je ne suis devin ne prophète,S,Evaded,B-flat,T,Authentic,D,G,Authentic,Plagal,G
"DC0609.5: Si donques sçavoir j'ay envie,",DC0609: Je ne suis devin ne prophète,S,,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0609.2: Et si lis au cœur de m'amie,",DC0609: Je ne suis devin ne prophète,S,,G,T,Authentic,D,D,Plagal,Authentic,G
"DC0609.1: Je ne suis devin ne prophete,",DC0609: Je ne suis devin ne prophète,None,,D,None,Plagal,None,G,None,Authentic,G
"DC0608.6: Un maintien un parler de mesmes,",DC0608: Qui veult sçavoyr quelle est m'amye,None,,D,None,Plagal,D,G,Authentic,Authentic,D
"DC0608.5: Je n'en cognois point de si belle,",DC0608: Qui veult sçavoyr quelle est m'amye,S,,D,T,Authentic,G,D,Authentic,Plagal,D
"DC0608.2: Cest une gente damoiselle,",DC0608: Qui veult sçavoyr quelle est m'amye,S,,G,T,Authentic,None,D,None,Authentic,D
DC0607.8: Par qui les Dieux sont moins que moy.,DC0607: Si m'amie a de fermeté,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0607.5: Mais quoy fault il que doubte en face,",DC0607: Si m'amie a de fermeté,S,,B-flat,T,Authentic,G,D,Authentic,Plagal,G
"DC0607.2: Aultant qu'elle a de bonne grace,",DC0607: Si m'amie a de fermeté,S,,G,T,Authentic,B-flat,B-flat,Authentic,Authentic,G
"DC0606.8: De ton travail, et du mien tu es cause.","DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0606.7: Ha donc povre oeil endure doulcement,","DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",None,,D,None,Plagal,D,B-flat,Plagal,Authentic,G
"DC0606.6: Et cela faict que si mal je repose,","DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",None,,D,None,Plagal,G,D,Authentic,Plagal,G
"DC0606.5: Par ton regard eut son commencement,","DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",T,"Displaced, Inverted, Evaded",G,Ct,Authentic,D,D,Authentic,Plagal,G
"DC0606.2: Accuses en toy mesmes seulement,","DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",S,,D,T,Authentic,A,G,Phrygian,Authentic,G
DC0605.8: En un lieu sans querelle.,DC0605: Quand tant me mectz devant mes yeulx,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0605.7: Avec foy à peine jamais,",DC0605: Quand tant me mectz devant mes yeulx,B,"Displaced, Inverted",D,Ct,Phrygian,G,G,Authentic,Authentic,G
"DC0605.2: De graces en m'amie,",DC0605: Quand tant me mectz devant mes yeulx,S,,G,T,Authentic,G,D,Authentic,Phrygian,G
DC0604.10: Que le direz de pardon estre digne.,"DC0604: Où est ce temps, dictes, mademoiselle",S,,G,T,Authentic,G,None,Authentic,None,G
"DC0604.8: Dictes le moy, et vous monstrez benigne,","DC0604: Où est ce temps, dictes, mademoiselle",S,,G,T,Authentic,A,G,Authentic,Authentic,G
"DC0604.7: Mais s'advenu m'estoit par ignorance,","DC0604: Où est ce temps, dictes, mademoiselle",S,Evaded,A,T,Authentic,D,G,Plagal,Authentic,G
"DC0604.6: A vous servir, helas non que je pense?","DC0604: Où est ce temps, dictes, mademoiselle",None,,D,None,Plagal,D,A,Authentic,Authentic,G
DC0604.5: Ay-je m'espris encontre le debvoir,"DC0604: Où est ce temps, dictes, mademoiselle",S,,D,T,Authentic,D,D,Authentic,Plagal,G
"DC0604.2: Que ne pouviez estre un jour sans me voir,","DC0604: Où est ce temps, dictes, mademoiselle",S,,D,T,Authentic,D,D,Authentic,Authentic,G
"DC0604.1: Ou est ce temps dictes madamoiselle,","DC0604: Où est ce temps, dictes, mademoiselle",S,,D,T,Authentic,None,D,None,Authentic,G
DC0603.11: Me regrettant te mauldira m’amie.,DC0603: Or à ce jour le verd may se termine,S,,D,T,Authentic,A,None,Authentic,None,D
"DC0603.8: Dont ja commence à m’ennuyer ma vie,",DC0603: Or à ce jour le verd may se termine,S,,A,T,Authentic,D,A,Authentic,Authentic,D
"DC0603.7: Plus ne verray ce que voir je soulois,",DC0603: Or à ce jour le verd may se termine,S,,F,T,Authentic,D,D,Authentic,Authentic,D
