phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
DC0703.10: Nostre curé souvent m'en a preschée.,DC0703: Un bon vieillard qui n'avoit que le bec,S,,G,T,Authentic,D,None,Phrygian,None,G
"DC0703.9: L'esprit est prompt  mais infirme est la chair,",DC0703: Un bon vieillard qui n'avoit que le bec,S,,B-flat,T,Authentic,D,D,Authentic,Phrygian,G
"DC0703.8: Dont se moquant dict la dame faschée,",DC0703: Un bon vieillard qui n'avoit que le bec,S,,D,T,Authentic,B-flat,B-flat,Authentic,Authentic,G
"DC0703.7: Plus de cent fois, et ne peult deslascher,",DC0703: Un bon vieillard qui n'avoit que le bec,S,,B-flat,T,Authentic,D,D,Authentic,Authentic,G
"DC0703.6: Il taste, il monte assez pour l'escacher,",DC0703: Un bon vieillard qui n'avoit que le bec,Ct,Displaced,D,B,Authentic,A,B-flat,Phrygian,Authentic,G
"DC0703.5: Pour tout payement luy chante ceste game,",DC0703: Un bon vieillard qui n'avoit que le bec,S,,A,T,Phrygian,G,D,Authentic,Authentic,G
"DC0703.2: Se trouvant court pres d'une jeune dame,",DC0703: Un bon vieillard qui n'avoit que le bec,S,,G,T,Authentic,D,A,Authentic,Phrygian,G
"DC0703.1: Un bon vieillard qui n'avoit que le bec,",DC0703: Un bon vieillard qui n'avoit que le bec,Ct,Displaced,D,B,Authentic,None,G,None,Authentic,G
DC0702.8: Ny a Dieu qui n'en fut tenté.,DC0702: Je suis bien aise qu'elle est belle,S,,D,T,Authentic,D,None,Authentic,None,D
"DC0702.7: Mais des yeulx de ma damoyselle,",DC0702: Je suis bien aise qu'elle est belle,None,,A,None,Plagal,A,D,Authentic,Authentic,D
DC0702.6: Qui me face deffier d'elle,DC0702: Je suis bien aise qu'elle est belle,S,,A,T,Authentic,D,A,CadInCad,Plagal,D
"DC0702.2: Car pour moy seul est sa beaulté,",DC0702: Je suis bien aise qu'elle est belle,S,,D,T,CadInCad,A,A,Authentic,Authentic,D
"DC0702.1: Je suis bien aise, qu'elle est belle,",DC0702: Je suis bien aise qu'elle est belle,S,,A,T,Authentic,None,D,None,CadInCad,D
DC0701.10: Advisez quel jeu vous avez.,"DC0701: Or sus, pas je ne veulx refaire",S,,D,T,Authentic,A,None,Plagal,None,D
"DC0701.8: A ce joly jeu que sçavez,","DC0701: Or sus, pas je ne veulx refaire",None,,A,None,Plagal,D,D,Authentic,Authentic,D
"DC0701.7: Quand recommencer je vous prie,","DC0701: Or sus, pas je ne veulx refaire",T,"Displaced, Inverted",D,Ct,Authentic,C,A,Authentic,Plagal,D
"DC0701.6: Ne niant que j’en eusses envie,","DC0701: Or sus, pas je ne veulx refaire",Ct,Displaced,C,T,Authentic,A,D,Authentic,Authentic,D
"DC0701.2: A ceste heure que m'en priez,","DC0701: Or sus, pas je ne veulx refaire",S,,A,T,Authentic,None,C,None,Authentic,D
"DC0412.7: Serrez cela dict il à coup,",DC0412: Un galland le fit et refit,None,,G,None,Plagal,C,C,Authentic,Authentic,C
DC0608.8: Elle m'aime comme soimesmes.,DC0608: Qui veult sçavoyr quelle est m'amye,S,,G,T,Authentic,D,None,Plagal,None,D
"DC0406.6: Quand pour aimer le malheur ainsi croist,",DC0406: D'amour me plainctz et du mal que je sens,S,,G,T,Authentic,A,G,Phrygian,Authentic,G
"DC0406.5: O fol plaisir, ô facheuse liesse,",DC0406: D'amour me plainctz et du mal que je sens,Ct,Displaced,A,B,Phrygian,G,G,Authentic,Authentic,G
"DC0406.2: De trop aimer par folie, et simplesse,",DC0406: D'amour me plainctz et du mal que je sens,S,,G,T,Authentic,D,A,Plagal,Phrygian,G
"DC0405.1: La grant doulceur de vostre cler visaige,",DC0405: La grant doulceur de vostre cler visaige,S,,B-flat,T,Authentic,None,G,None,Authentic,B-flat
"DC0405.2: Me donne espoir de mercy recepvoir ,",DC0405: La grant doulceur de vostre cler visaige,S,,G,T,Authentic,B-flat,D,Authentic,Plagal,B-flat
"DC0405.5: N'ayez donc plus merveilles de me veoir,",DC0405: La grant doulceur de vostre cler visaige,,,D,,Plagal,G,G,Authentic,Plagal,B-flat
"DC0405.8: Je vis sans vie, et sans mourir je meurs.",DC0405: La grant doulceur de vostre cler visaige,S,,G,T,Authentic,D,None,Phrygian,None,B-flat
"DC0405.7: Car soubz espoir de vie et mort avoir,",DC0405: La grant doulceur de vostre cler visaige,Ct,Displaced,D,B,Phrygian,G,G,Plagal,Authentic,B-flat
"DC0405.6: Ores chantant, ores faisant clameurs,",DC0405: La grant doulceur de vostre cler visaige,None,,G,None,Plagal,D,D,Plagal,Phrygian,B-flat
"DC0404.2: La serviray comme la plus notable,",DC0404: A tout jamais d'un vouloir immortel,S,,G,T,Authentic,D,B-flat,Authentic,Authentic,G
"DC0404.1: A tout jamais d’un vouloir immortel,",DC0404: A tout jamais d'un vouloir immortel,S,,D,T,Authentic,G,D,Authentic,Authentic,G
DC0404.6: A tout jamais.,DC0404: A tout jamais d'un vouloir immortel,,,D,,Plagal,G,D,Authentic,Plagal,G
DC0404.5: Ne soit plus qu’un par un vouloir semblable.,DC0404: A tout jamais d'un vouloir immortel,S,,D,T,Authentic,D,G,Authentic,Authentic,G
"DC0404.4: La raison est que son cœur et le mien,",DC0404: A tout jamais d'un vouloir immortel,S,,G,T,Authentic,F,D,Authentic,Authentic,G
"DC0404.3: Qui soit vivant d’un joyeulx entretien,",DC0404: A tout jamais d'un vouloir immortel,S,Evaded,F,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0607.7: O en amitié l'oultre passe,",DC0607: Si m'amie a de fermeté,S,Evaded,B-flat,T,Authentic,D,G,Plagal,Authentic,G
"DC0607.6: N'ay je pas preuve de sa foy,",DC0607: Si m'amie a de fermeté,None,,D,None,Plagal,B-flat,B-flat,Authentic,Authentic,G
"DC0607.1: Si m'amie a de fermeté,",DC0607: Si m'amie a de fermeté,B,"Displaced, Inverted",B-flat,S,Authentic,None,G,None,Authentic,G
DC0403.8: Lors c’est tourment ou gist un grand plaisir.,DC0403: Prendre plaisir en aymant loyaulment,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0403.7: Et que l’aimant du present se contente,",DC0403: Prendre plaisir en aymant loyaulment,S,,D,T,Authentic,D,G,Authentic,Authentic,G
"DC0403.6: Des biens requis le meilleur à choisir,",DC0403: Prendre plaisir en aymant loyaulment,S,,D,T,Authentic,D,D,Authentic,Authentic,G
"DC0403.5: Que s’il advient que la dame presente,",DC0403: Prendre plaisir en aymant loyaulment,T,Inverted,G,S,Authentic,D,D,Authentic,Authentic,G
"DC0403.4: C’est un plaisir qui desplaist, et tourmente,",DC0403: Prendre plaisir en aymant loyaulment,S,,G,T,Authentic,D,D,Authentic,Authentic,G
"DC0403.1: Prendre plaisir en aimant loyaulment,",DC0403: Prendre plaisir en aymant loyaulment,S,Evaded,D,T,Authentic,None,G,None,Authentic,G
DC0402.8: Veoir s’elle aura plus de pitié de soy.,DC0402: Quand suis au lict pour prendre mon repos,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0402.7: Faictz luy pour moy sentir peine pareille,",DC0402: Quand suis au lict pour prendre mon repos,T,"Displaced, Inverted",D,Ct,Authentic,D,G,Plagal,Authentic,G
"DC0402.5: Lors dictz à Dieu mais il a sourde oreille,",DC0402: Quand suis au lict pour prendre mon repos,S,"Inverted, Evaded",C,T,Authentic,G,D,Authentic,Plagal,G
"DC0402.2: Cent fois la nuict apres toy me reveille,",DC0402: Quand suis au lict pour prendre mon repos,S,,G,T,Authentic,D,C,Authentic,Authentic,G
"DC0402.1: Quand suis au lict pour prendre mon repos,",DC0402: Quand suis au lict pour prendre mon repos,S,,D,T,Authentic,D,G,Authentic,Authentic,G
DC0401.10: Tandis qu'au pot une goutte en demeure.,DC0401: Monsieur l'Abbé et monsieur son vallet,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0401.9: Et son vallet jamais dormir ne peult,",DC0401: Monsieur l'Abbé et monsieur son vallet,,,D,,Plagal,G,D,Authentic,Authentic,G
"DC0401.8: Estre sans vin, que sans secours ne meure,",DC0401: Monsieur l'Abbé et monsieur son vallet,S,,G,T,Authentic,G,A,Authentic,Phrygian,G
DC0401.2: Sont faictz esgaulx tous deux comme de cire,DC0401: Monsieur l'Abbé et monsieur son vallet,S,,G,T,Authentic,D,D,Authentic,Authentic,G
"DC0401.1: Monsieur l'Abbé, et monsieur son vallet,",DC0401: Monsieur l'Abbé et monsieur son vallet,S,,D,T,Authentic,None,G,None,Authentic,G
DC0606.1: Ce n'est poinct moy mon oeil qui te travaille,"DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",S,Displaced,A,B,Phrygian,None,D,None,Authentic,G
"DC0525.3: Dormez toujours, et pourquoy? pource",DC0525: Recepte pour un flux de bourse,S,,C,T,Authentic,G,C,Authentic,Authentic,C
DC0525.1: Recepte pour un flux de bourse.,DC0525: Recepte pour un flux de bourse,S,,G,T,Authentic,G,C,Authentic,Authentic,C
DC0524.10: Tel fol amour sans guerre n’est perfaict.,DC0524: Tels menus plaidz conferment les amours,S,,G,T,Authentic,C,None,Plagal,None,G
"DC0524.9: Mais s’il procede d’un vouloir impudique,",DC0524: Tels menus plaidz conferment les amours,None,,C,None,Plagal,C,G,Authentic,Authentic,G
"DC0524.6: Par chasteté, et loyaulté pudique,",DC0524: Tels menus plaidz conferment les amours,S,,C,T,Authentic,C,C,Authentic,Authentic,G
"DC0524.1: Telz menuz plaidz conferment les amours,",DC0524: Tels menus plaidz conferment les amours,S,,G,T,Authentic,C,G,Authentic,Authentic,G
"DC0523.9: Mais pour entendre au vray la fantaisie,",DC0523: Jamais amour sans guerre n'est parfaict,S,Evaded,C,T,Authentic,C,G,Authentic,Authentic,C
DC0523.10: Telz menus plaidz conferment les amours.,DC0523: Jamais amour sans guerre n'est parfaict,S,,G,T,Authentic,C,None,Authentic,None,C
"DC0523.8: L’on porte groing huict, dix, ou douze jours:",DC0523: Jamais amour sans guerre n'est parfaict,S,Displaced,C,Ct,Authentic,C,C,Authentic,Authentic,C
"DC0523.7: L’on chet souvent en forte frenaisie,",DC0523: Jamais amour sans guerre n'est parfaict,S,Incomplete,C,T,Authentic,C,C,Authentic,Authentic,C
"DC0523.6: L’on a despit, l’on conçoipt jalousie,",DC0523: Jamais amour sans guerre n'est parfaict,T,Displaced,C,B,Authentic,G,C,Plagal,Authentic,C
"DC0523.5: L’on tient parfois quelque rigoreux terme,",DC0523: Jamais amour sans guerre n'est parfaict,None,,G,None,Plagal,G,G,Authentic,Plagal,C
"DC0523.2: Ni de durée encores qu’il feust ferme,",DC0523: Jamais amour sans guerre n'est parfaict,S,,G,T,Authentic,C,G,Authentic,Plagal,C
"DC0523.1: Jamais amour sans guerre n’est parfaict,",DC0523: Jamais amour sans guerre n'est parfaict,T,"Displaced, Inverted",C,Ct,Authentic,None,G,None,Authentic,C
DC0522.10: Je te prie donc accourcis les.,DC0522: Qui diable nous a faict ces jours,S,,G,T,Authentic,E,None,Plagal,None,G
"DC0522.9: Affin que voye ma maistresse,",DC0522: Qui diable nous a faict ces jours,,,E,,Plagal,C,G,Authentic,Authentic,G
DC0522.7: Tu feis durer trois nuictz sans cesse,DC0522: Qui diable nous a faict ces jours,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,C,Authentic,Authentic,G
"DC0522.6: Souvienne toy de ta jeunesse,",DC0522: Qui diable nous a faict ces jours,S,"Displaced, Evaded",C,T,Authentic,E,C,Phrygian,Authentic,G
"DC0522.3: Car ils empechent noz amours,",DC0522: Qui diable nous a faict ces jours,None,,C,None,Plagal,C,E,Plagal,Phrygian,G
"DC0522.2: Si longs, si grandz, si ennuyeux,",DC0522: Qui diable nous a faict ces jours,None,,D,None,Plagal,C,C,Plagal,Plagal,G
"DC0522.1: Qui diable nous a faict ces jours,",DC0522: Qui diable nous a faict ces jours,None,,C,None,Plagal,None,D,None,Plagal,G
"DC0521.10: N’en parlez plus, mon con est appresté.",DC0521: Jehan se jouant un jour avec Jehannette,S,,C,T,Authentic,C,None,Plagal,None,C
DC0521.8: Regardez bien qui me soit tost presté?,DC0521: Jehan se jouant un jour avec Jehannette,S,,G,T,Authentic,C,C,Authentic,Plagal,C
"DC0605.1: Quand tant me mectz devant les yeulx,",DC0605: Quand tant me mectz devant mes yeulx,None,,D,None,Plagal,None,G,None,Authentic,G
"DC0521.7: Jehanne dict il Si pretendz-je au con tendre,",DC0521: Jehan se jouant un jour avec Jehannette,T,"Inverted, Evaded, Displaced",C,Ct,Authentic,G,C,Authentic,Authentic,C
"DC0521.6: Cerchez ailleurs a vous ne veulx contendre,",DC0521: Jehan se jouant un jour avec Jehannette,T,"Inverted, Displaced",G,S,Authentic,G,C,CAD NDLT,Authentic,C
"DC0521.5: Ne pencez pas que je soye de ceulx la,",DC0521: Jehan se jouant un jour avec Jehannette,Ct,Displaced,G,B,CAD NDLT,C,G,Authentic,Authentic,C
"DC0521.4: Ami vivant ne me despucella,",DC0521: Jehan se jouant un jour avec Jehannette,B,"Inverted, Evaded, Displaced",C,S,Authentic,C,G,Plagal,CAD NDLT,C
"DC0521.2: En bas devis luy dict faisons cela,",DC0521: Jehan se jouant un jour avec Jehannette,S,,C,T,Authentic,E,C,Plagal,Plagal,C
"DC0521.1: Jehan se jouant un jour avec Jehannette,",DC0521: Jehan se jouant un jour avec Jehannette,None,,E,None,Plagal,None,E,None,Plagal,C
"DC0520.10: Ou par dieu vous yres dehors,",DC0520: Quelque yvrongne de par le monde,T,"Displaced, Evaded",C,Ct,CadInCad,C,None,Authentic,None,C
DC0520.7: Lors dict le prescheur en criant,DC0520: Quelque yvrongne de par le monde,S,Incomplete,G,T,Authentic,G,C,Authentic,Authentic,C
"DC0520.6: Dirent les femmes en riant,",DC0520: Quelque yvrongne de par le monde,Ct,"Displaced, Inverted, Evaded",G,None,Authentic,G,G,Authentic,Authentic,C
"DC0520.4: Il monstroit le bout de sa trippe,",DC0520: Quelque yvrongne de par le monde,S,,G,T,Authentic,C,G,Authentic,Authentic,C
"DC0520.2: Preschoit un jour dans une pippe,",DC0520: Quelque yvrongne de par le monde,T,Displaced,C,B,Authentic,None,C,None,Authentic,C
DC0519.8: Si n’as pitié plustost que tant je souffre.,"DC0519: Si je te voy, qui est ce que desire",S,,C,T,Authentic,C,None,Authentic,None,C
"DC0519.6: Bruslant en feu plus ardant que n’es soulfre,","DC0519: Si je te voy, qui est ce que desire",Ct,Displaced,C,B,Authentic,C,C,Plagal,Authentic,C
"DC0519.1: Si je te voy qui est ce que desire,","DC0519: Si je te voy, qui est ce que desire",None,,E,None,Plagal,C,C,Authentic,Authentic,C
"DC0518.6: Qui veult jouir il faut perseverer,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0518.5: Remord d’amour ma dit n’aye desfiance,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,T,"Displaced, Inverted",G,Ct,Authentic,C,G,Authentic,Authentic,G
DC0518.2: Quand du jouir ne voy aultre apparence,DC0518: Puisqu'à t'aimer ne reçoy que tourment,S,,C,T,Authentic,C,G,Authentic,Authentic,G
"DC0518.1: Puis qu’a t’aimer ne reçoy que tourment,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,T,"Displaced, Inverted",C,Ct,Authentic,None,C,None,Authentic,G
"DC0517.10: Je serviray, m’ayant pour couverture.",DC0517: Un jour dormoit Colin en my des prez,S,,F,T,Authentic,F,None,Authentic,None,F
DC0517.9: Et moy dessus de pavillon aussi,DC0517: Un jour dormoit Colin en my des prez,S,Incomplete,C,T,Authentic,F,F,CAD NDLT,Authentic,F
"DC0517.7: De traversin me fourniras ainsi,",DC0517: Un jour dormoit Colin en my des prez,S,Incomplete,C,T,Authentic,C,F,Authentic,CAD NDLT,F
DC0517.6: Lors Colin grippe et dict n’ayez souci,DC0517: Un jour dormoit Colin en my des prez,S,"Evaded, Incomplete",C,T,Authentic,G,C,Plagal,Authentic,F
"DC0517.5: Mais le soleil droict aux yeulx luy ennuie,",DC0517: Un jour dormoit Colin en my des prez,None,,G,None,Plagal,F,C,Authentic,Authentic,F
"DC0517.4: Ou cuida estre comme luy endormie,",DC0517: Un jour dormoit Colin en my des prez,S,,F,T,Authentic,C,G,Authentic,Plagal,F
"DC0517.3: Qui la le veoit se vint coucher au pres,",DC0517: Un jour dormoit Colin en my des prez,S,Evaded,C,T,Authentic,F,F,Authentic,Authentic,F
DC0516.8: Plus sollempnel encor seroit la feste.,DC0516: Il est permis trouver au lict s'amie,S,,F,T,Authentic,G,None,Authentic,None,F
"DC0516.6: Bien hereticque est qui poinct ne vous feste,",DC0516: Il est permis trouver au lict s'amie,S,,G,T,Authentic,C,F,Authentic,Authentic,F
"DC0516.2: Aux innocentz cest bonne occasion,",DC0516: Il est permis trouver au lict s'amie,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,None,C,None,Authentic,F
"DC0515.10: Qu’en ce lieu est, le palais d’amitié.",DC0515: Où cerchez-vous du dieu d'amour l'empire,S,,F,T,Authentic,F,None,CadInCad,None,F
"DC0515.7: M’amour les ha en son cœur gracieux,",DC0515: Où cerchez-vous du dieu d'amour l'empire,Ct,Displaced,C,T,Authentic,C,D,CAD NDLT,Plagal,F
"DC0515.6: Et la ou sont de cupido les cieulx,",DC0515: Où cerchez-vous du dieu d'amour l'empire,T,Displaced,C,B,CAD NDLT,G,C,Authentic,Authentic,F
"DC0515.5: Voulez sçavoir les plaisantes retraictes,",DC0515: Où cerchez-vous du dieu d'amour l'empire,S,,G,T,Authentic,F,C,Authentic,CAD NDLT,F
"DC0515.2: Pour le trouver ne croyez auz poëtes,",DC0515: Où cerchez-vous du dieu d'amour l'empire,S,,F,T,Authentic,C,G,CAD NDLT,Authentic,F
"DC0515.1: Ou cerchez vous du dieu d’amour l’empire,",DC0515: Où cerchez-vous du dieu d'amour l'empire,Ct,Displaced,C,None,CAD NDLT,F,F,Authentic,Authentic,F
"DC0514.8: Et jouissant du fruict de ma beaulté,",DC0514: Puisque tu veulx mettre fin à ta plaincte,None,,E,None,Plagal,G,None,Authentic,None,E
"DC0514.7: Ce qui fera que cessant ton martyre,",DC0514: Puisque tu veulx mettre fin à ta plaincte,Ct,Displaced,G,B,Authentic,A,E,Authentic,Plagal,E
"DC0514.6: Sera ton vueil, comme tu le desire,",DC0514: Puisque tu veulx mettre fin à ta plaincte,S,,A,T,Authentic,E,G,Phrygian,Authentic,E
"DC0514.2: Mettant du tout mon grand tort en oubli,",DC0514: Puisque tu veulx mettre fin à ta plaincte,S,,A,T,Authentic,C,E,Authentic,Phrygian,E
"DC0514.1: Puis que tu veulx mettre fin à ta plaincte,",DC0514: Puisque tu veulx mettre fin à ta plaincte,S,,C,T,Authentic,None,A,None,Authentic,E
"DC0513.8: Estre par vous et vostre cruaulté,",DC0513: Je ne veulx plus de mon malheur me plaindre,Ct,Displaced,E,B,Phrygian,C,None,Authentic,None,E
"DC0513.6: Triste et pensif, le reste de ma vie,",DC0513: Je ne veulx plus de mon malheur me plaindre,S,,A,T,Authentic,G,C,CAD NDLT,Authentic,E
DC0513.5: Le regret n’ayt pouvoir de me tenir,DC0513: Je ne veulx plus de mon malheur me plaindre,S,,C,T,Authentic,A,G,Authentic,CAD NDLT,E
DC0513.2: Ni en l’esprit avoir le souvenir,DC0513: Je ne veulx plus de mon malheur me plaindre,S,,A,T,Authentic,C,C,Authentic,Authentic,E
"DC0513.1: Je ne veulx plus de mon malheur me plaindre,",DC0513: Je ne veulx plus de mon malheur me plaindre,T,"Displaced, Inverted, Evaded",C,Ct,Authentic,E,A,Phrygian,Authentic,E
"DC0512.2: Je suis creté comme une fraize,",DC0512: Quand je voy ma mignonne rire,S,Evaded,D,T,Authentic,None,G,None,Plagal,D
DC0511.10: Cela se garde pour l’ami.,DC0511: Ce disoit une jeune dame,S,,G,T,Authentic,A,None,Phrygian,None,G
DC0511.9: Je ny leverai ma chemise,DC0511: Ce disoit une jeune dame,S,Displaced,A,B,Phrygian,D,G,Authentic,Authentic,G
"DC0511.8: Pas ny voyez cler a demy,",DC0511: Ce disoit une jeune dame,S,,D,T,Authentic,G,A,Authentic,Phrygian,G
"DC0511.7: Quand est de moy je suis promise,",DC0511: Ce disoit une jeune dame,Ct,"Displaced, Inverted, Evaded",G,S,Authentic,B-flat,D,Authentic,Authentic,G
"DC0511.6: Mal vous siet ceste mignotise,",DC0511: Ce disoit une jeune dame,S,,B-flat,T,Authentic,D,G,Phrygian,Authentic,G
DC0510.8: Si comme moy n’est patient.,"DC0510: J'endure tout, c'est bien raison",S,Evaded,G,T,Authentic,D,None,Plagal,None,G
"DC0510.7: Aime aultant cest œil luy donne,","DC0510: J'endure tout, c'est bien raison",None,,D,None,Plagal,D,D,Authentic,Plagal,G
"DC0510.6: Qu’ainsi die a bon escient,","DC0510: J'endure tout, c'est bien raison",S,,D,T,Authentic,D,D,Plagal,Plagal,G
"DC0510.5: Et si aulcun est qui s’estonne,","DC0510: J'endure tout, c'est bien raison",None,,D,None,Plagal,D,D,Plagal,Plagal,G
"DC0510.2: Puis qu’ainsi plaist à ma mignonne,","DC0510: J'endure tout, c'est bien raison",T,"Inverted, Evaded, Displaced",D,Ct,Authentic,D,D,Authentic,Plagal,G
"DC0510.1: J’endure tout cest bien raison,","DC0510: J'endure tout, c'est bien raison",S,,D,T,Authentic,None,D,None,Authentic,G
DC0509.8: J’ay plume et encre pour escripre.,"DC0509: Ça ces beaux yeux, ça ceste bouche",S,,G,T,Authentic,A,None,Phrygian,None,G
DC0509.6: Ouvrir ma bouche pour le dire:,"DC0509: Ça ces beaux yeux, ça ceste bouche",S,,B-flat,T,Authentic,D,F,Authentic,Authentic,G
DC0509.5: Pourquoi faire je n’oserois,"DC0509: Ça ces beaux yeux, ça ceste bouche",S,Evaded,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0509.2: Que je les baise mille fois,","DC0509: Ça ces beaux yeux, ça ceste bouche",S,,G,T,Authentic,D,D,Authentic,Plagal,G
DC0509.1: Ca ces beaulx yeulx ça ceste bouche,"DC0509: Ça ces beaux yeux, ça ceste bouche",S,,D,T,Authentic,None,G,None,Authentic,G
DC0508.8: Ou aultrement il vauldroit mieulx se taire:,DC0508: Musiciens qui chantez à plaisir,S,,G,T,Authentic,G,D,CadInCad,Authentic,G
"DC0508.6: Qui prent plaisir à son chant gratieux,",DC0508: Musiciens qui chantez à plaisir,S,,G,T,CadInCad,D,G,Authentic,Authentic,G
"DC0508.5: Accordez vous ainsi que la linotte,",DC0508: Musiciens qui chantez à plaisir,S,,D,T,Authentic,G,G,Authentic,CadInCad,G
"DC0508.2: Si vous voulez faire valoir la notte,",DC0508: Musiciens qui chantez à plaisir,None,,D,None,Plagal,None,G,None,Authentic,G
DC0508.10: De ne chanter si vous n’avez à boire.,DC0508: Musiciens qui chantez à plaisir,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0507.5: Pour en ce lieu novisse, ou clerc me rendre,","DC0507: Long temps y a, innocente pucelle",S,,D,T,Authentic,D,G,Plagal,Authentic,D
"DC0507.4: Qui au chemin m’a tourmenté souvent,","DC0507: Long temps y a, innocente pucelle",,,D,,Plagal,B-flat,D,Authentic,Authentic,D
"DC0507.3: En ce lieu cy sans craindre l’aspre vent,","DC0507: Long temps y a, innocente pucelle",S,,B-flat,T,Authentic,F,D,Plagal,Plagal,D
"DC0507.2: Que je voulu conduire ta nacelle,","DC0507: Long temps y a, innocente pucelle",S,,G,T,Authentic,D,F,Authentic,Plagal,D
"DC0507.1: Long temps ya innocente pucelle,","DC0507: Long temps y a, innocente pucelle",S,,D,T,Authentic,None,G,None,Authentic,D
DC0506.6: Car deux escuz m’avez saulvez,DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,S,,D,T,Authentic,G,G,Authentic,CadInCad,D
"DC0506.5: Nenni non, Pourquoy? pource,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,,,D,,Plagal,B-flat,G,Authentic,Authentic,D
"DC0506.4: Ne que tant soit peu je m’en courrouce,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,S,Displaced,B-flat,Ct,Authentic,D,D,Authentic,Plagal,D
"DC0506.3: Pensez vous que je m’en soucie,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,S,Displaced,D,Ct,Authentic,D,B-flat,Authentic,Authentic,D
"DC0506.1: Madame je vous remercie,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,S,Displaced,D,Ct,Authentic,D,D,Authentic,Authentic,D
"DC0410.8: Prest sont de choir en grand' desesperance,",DC0410: Si pour amans la lune est importune,None,,C,None,Plagal,G,None,Authentic,None,G
DC0408.5: Car amour n’est qu’un desir d’aspirer,DC0408: Amour se doibt figurer une rose,S,,B-flat,T,Authentic,G,D,Authentic,Authentic,G
"DC0407.1: Plaisir, prouffit, honneur, advancement,","DC0407: Plaisir, prouffit, honneur, advancement",None,,D,None,Plagal,G,G,Authentic,Authentic,G
"DC0603.2: N’en oys tu pas le Rossignol se plaindre,",DC0603: Or à ce jour le verd may se termine,None,,A,None,Plagal,A,A,Authentic,Authentic,D
"DC0406.8: L'hyvert je brusle, et l'æsté meurs de froid.",DC0406: D'amour me plainctz et du mal que je sens,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0406.1: D'amour me plaintz, et du mal que je sentz,",DC0406: D'amour me plainctz et du mal que je sens,,,D,,Plagal,None,G,None,Authentic,G
"DC0505.7: Qui voit un mort tout vif renaistre,",DC0505: Si vous aviez comme moy faim,Ct,Displaced,D,B,Phrygian,D,G,Authentic,Authentic,D
"DC0505.6: Qu’il m’est trop grief de seul veiller,",DC0505: Si vous aviez comme moy faim,S,,D,T,Authentic,B-flat,D,Authentic,Phrygian,D
"DC0505.2: Vous auriez desir de repaistre,",DC0505: Si vous aviez comme moy faim,S,,G,T,Authentic,None,B-flat,None,Authentic,D
DC0504.8: Ce jour m’estoit plus qu’heure tost passant.,DC0504: Quand j'ay esté quinze heures avec vous,,,G,,Plagal,D,G,Authentic,Plagal,G
"DC0504.2: A vous baiser du moins cent fois pour heure,",DC0504: Quand j'ay esté quinze heures avec vous,S,,B-flat,T,Authentic,G,D,Authentic,Authentic,G
DC0503.16: Vous ne finerez meshuy.,DC0503: Vous estes un fascheux homme,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0503.15: Vous estes un fascheux homme,",DC0503: Vous estes un fascheux homme,Ct,"Inverted, Evaded, Displaced",G,S,Authentic,D,G,Plagal,Authentic,G
"DC0503.9: Vous ne finerez meshuy,",DC0503: Vous estes un fascheux homme,,,G,,Plagal,G,D,Authentic,Authentic,G
"DC0503.6: Voulez vous cesser,",DC0503: Vous estes un fascheux homme,B,"Displaced, Inverted",A,S,Phrygian,F,B-flat,Plagal,Authentic,G
"DC0503.4: Finez vous, ou je crieray,",DC0503: Vous estes un fascheux homme,T,"Inverted, Displaced, Evaded",D,Ct,Authentic,G,D,Authentic,Authentic,G
"DC0503.2: Vous ne finerez meshuy,",DC0503: Vous estes un fascheux homme,S,,G,T,Authentic,G,D,Authentic,Authentic,G
DC0502.9: Et heureuse ma vie.,DC0502: J'ay le fruit tant désiré,S,,G,T,Authentic,B-flat,None,Plagal,None,G
"DC0502.7: Sur aultres n’ay envie,",DC0502: J'ay le fruit tant désiré,S,,D,T,Authentic,D,B-flat,Plagal,Plagal,G
"DC0502.6: Pour nul bien augmenter,",DC0502: J'ay le fruit tant désiré,,,D,,Plagal,B-flat,D,Authentic,Authentic,G
